LocationID,LocationName,AppointmentID,Chair ID,Chairs,Start Time,End Time
937,CIVIC - NORTH HAVEN,1265180,0,10,10/12/22 12:00,10/12/22 15:00
1038,ID Consultants - Youngstown,1441389,0,3,4/11/23 12:30,4/11/23 14:00
1038,ID Consultants - Youngstown,1428220,1,3,1/10/23 13:30,1/10/23 15:00
147,ICPA - Royersford,1373632,0,6,2/22/23 14:00,2/22/23 15:00
147,ICPA - Royersford,1340465,1,6,11/22/22 14:30,11/22/22 15:30
86,CIVIC - WILTON,1398074,0,8,12/29/22 19:15,12/29/22 20:15
86,CIVIC - WILTON,1398076,4,8,12/27/22 19:15,12/27/22 20:15
148,ICPA - Jenkintown,1413838,3,6,1/10/23 14:00,1/10/23 19:00
147,ICPA - Royersford,1182472,2,6,8/31/22 13:00,8/31/22 15:30
147,ICPA - Royersford,1123151,1,6,7/15/22 13:00,7/15/22 16:00
148,ICPA - Jenkintown,1301021,1,6,11/8/22 14:00,11/8/22 19:00
148,ICPA - Jenkintown,1376350,1,6,12/19/22 14:00,12/19/22 19:00
230,ICPA - Broomall,1302965,0,5,1/6/23 16:00,1/6/23 17:00
230,ICPA - Broomall,1278727,0,5,10/6/22 16:00,10/6/22 17:00
695,CIVIC - VALHALLA,1214672,0,8,8/11/22 14:00,8/11/22 15:00
86,CIVIC - WILTON,1387813,5,8,12/13/22 14:30,12/13/22 17:30
147,ICPA - Royersford,1290024,0,6,3/28/23 14:00,3/28/23 14:15
147,ICPA - Royersford,1252790,0,6,9/28/22 12:30,9/28/22 13:00
1037,ID Consultants - Westlake,1235522,0,3,9/19/22 16:00,9/19/22 20:00
1037,ID Consultants - Westlake,1232188,0,3,8/22/22 12:00,8/22/22 16:00
1035,ID Consultants - Middleburg Heights,1232204,1,5,8/25/22 15:30,8/25/22 19:30
1082,Infusion Care Providers of America at Cherry Hill,1366650,0,5,11/17/22 14:30,11/17/22 15:30
1082,Infusion Care Providers of America at Cherry Hill,1383040,0,5,3/1/23 14:00,3/1/23 15:00
1082,Infusion Care Providers of America at Cherry Hill,1340616,0,5,11/8/22 13:00,11/8/22 14:00
1082,Infusion Care Providers of America at Cherry Hill,1373728,0,5,11/30/22 13:00,11/30/22 14:00
147,ICPA - Royersford,1257655,2,6,10/6/22 13:30,10/6/22 19:30
1006,ID Consultants - Beachwood,1252254,1,8,10/13/22 18:30,10/13/22 20:15
1006,ID Consultants - Beachwood,1212017,3,8,9/1/22 13:30,9/1/22 15:15
1006,ID Consultants - Beachwood,1131915,3,8,7/7/22 18:45,7/7/22 20:30
1006,ID Consultants - Beachwood,1324737,3,8,12/1/22 16:30,12/1/22 18:15
1006,ID Consultants - Beachwood,1386214,4,8,1/12/23 15:15,1/12/23 17:00
1006,ID Consultants - Beachwood,1170326,3,8,8/4/22 18:30,8/4/22 20:15
1006,ID Consultants - Beachwood,1446307,2,8,2/23/23 19:15,2/23/23 21:00
1006,ID Consultants - Beachwood,1285301,1,8,10/20/22 18:30,10/20/22 20:15
1006,ID Consultants - Beachwood,1175410,0,8,11/8/22 13:30,11/8/22 15:15
1006,ID Consultants - Beachwood,1094101,4,8,7/12/22 12:45,7/12/22 14:30
1006,ID Consultants - Beachwood,1175409,4,8,9/6/22 12:30,9/6/22 14:15
1035,ID Consultants - Middleburg Heights,1325546,0,5,1/26/23 13:00,1/26/23 13:45
1035,ID Consultants - Middleburg Heights,1160679,1,5,7/29/22 13:00,7/29/22 14:00
1035,ID Consultants - Middleburg Heights,1202497,2,5,10/21/22 13:00,10/21/22 13:45
1035,ID Consultants - Middleburg Heights,1154765,0,5,6/30/22 12:30,6/30/22 13:30
148,ICPA - Jenkintown,1209088,0,6,8/10/22 18:00,8/10/22 19:00
148,ICPA - Jenkintown,1399429,0,6,12/26/22 16:30,12/26/22 17:30
148,ICPA - Jenkintown,1423581,4,6,1/11/23 15:30,1/11/23 16:00
148,ICPA - Jenkintown,1444137,0,6,2/8/23 15:30,2/8/23 16:00
148,ICPA - Jenkintown,1220307,0,6,9/7/22 15:30,9/7/22 16:30
148,ICPA - Jenkintown,1318404,4,6,10/25/22 15:00,10/25/22 16:00
148,ICPA - Jenkintown,1271395,1,6,9/30/22 16:30,9/30/22 17:30
322,ICPA - Center City,1208844,0,4,8/10/22 16:00,8/10/22 17:00
1035,ID Consultants - Middleburg Heights,1122608,2,5,12/2/22 14:00,12/2/22 19:00
1035,ID Consultants - Middleburg Heights,1333840,3,5,12/2/22 14:00,12/2/22 20:00
1035,ID Consultants - Middleburg Heights,1387816,0,5,6/2/23 13:00,6/2/23 19:00
147,ICPA - Royersford,1231384,2,6,8/30/22 14:00,8/30/22 14:45
147,ICPA - Royersford,1164223,1,6,8/29/22 14:00,8/29/22 14:45
147,ICPA - Royersford,1435913,1,6,1/6/23 16:00,1/6/23 17:00
147,ICPA - Royersford,1248269,2,6,10/25/22 13:00,10/25/22 13:45
147,ICPA - Royersford,1273552,3,6,1/3/23 16:00,1/3/23 17:00
147,ICPA - Royersford,1437689,0,6,3/3/23 16:00,3/3/23 17:00
147,ICPA - Royersford,1066259,1,6,7/2/22 14:00,7/2/22 14:45
86,CIVIC - WILTON,1463886,6,8,1/24/23 17:45,1/24/23 18:45
695,CIVIC - VALHALLA,1377701,0,8,12/8/22 17:00,12/8/22 18:00
148,ICPA - Jenkintown,1085776,0,6,11/12/22 14:30,11/12/22 15:30
148,ICPA - Jenkintown,1371459,3,6,12/2/22 19:00,12/2/22 20:00
86,CIVIC - WILTON,1146214,3,8,8/16/22 14:30,8/16/22 15:30
86,CIVIC - WILTON,1227485,0,8,9/13/22 15:30,9/13/22 16:30
86,CIVIC - WILTON,1278644,6,8,10/11/22 14:00,10/11/22 17:00
86,CIVIC - WILTON,1286197,2,8,11/8/22 15:15,11/8/22 18:15
86,CIVIC - WILTON,1278643,5,8,9/26/22 14:00,9/26/22 17:00
86,CIVIC - WILTON,1107934,2,8,7/19/22 13:45,7/19/22 14:45
86,CIVIC - WILTON,1351007,6,8,1/3/23 15:30,1/3/23 18:30
86,CIVIC - WILTON,1431502,2,8,2/28/23 15:30,2/28/23 18:30
695,CIVIC - VALHALLA,1226203,0,8,9/8/22 13:00,9/8/22 18:00
147,ICPA - Royersford,1462683,0,6,2/20/23 13:00,2/20/23 15:00
147,ICPA - Royersford,1210253,0,6,8/30/22 12:00,8/30/22 14:00
147,ICPA - Royersford,1210118,0,6,8/30/22 12:00,8/30/22 14:00
147,ICPA - Royersford,1162912,1,6,8/2/22 13:00,8/2/22 15:00
147,ICPA - Royersford,1377855,1,6,1/6/23 13:30,1/6/23 15:30
147,ICPA - Royersford,1304317,1,6,10/13/22 15:30,10/13/22 17:30
147,ICPA - Royersford,1313486,4,6,11/25/22 18:00,11/25/22 19:30
148,ICPA - Jenkintown,1435230,0,6,3/13/23 12:00,3/13/23 12:30
148,ICPA - Jenkintown,1319530,2,6,11/15/22 14:00,11/15/22 14:30
148,ICPA - Jenkintown,1156462,0,6,7/26/22 13:00,7/26/22 13:30
148,ICPA - Jenkintown,1237452,1,6,9/20/22 13:00,9/20/22 13:30
148,ICPA - Jenkintown,1196186,1,6,8/23/22 13:00,8/23/22 13:30
148,ICPA - Jenkintown,1277439,0,6,10/18/22 15:00,10/18/22 15:30
147,ICPA - Royersford,1386315,0,6,6/1/23 17:00,6/1/23 17:15
147,ICPA - Royersford,1372590,0,6,12/1/22 18:00,12/1/22 18:30
230,ICPA - Broomall,1165063,1,5,8/2/22 13:30,8/2/22 15:30
230,ICPA - Broomall,1330255,1,5,12/20/22 14:30,12/20/22 16:30
230,ICPA - Broomall,1248473,1,5,9/27/22 13:30,9/27/22 15:30
230,ICPA - Broomall,1415618,1,5,1/17/23 13:30,1/17/23 15:30
230,ICPA - Broomall,1288320,0,5,10/25/22 13:30,10/25/22 15:30
230,ICPA - Broomall,1127062,1,5,7/5/22 13:30,7/5/22 15:30
230,ICPA - Broomall,1330232,1,5,11/22/22 14:15,11/22/22 16:15
230,ICPA - Broomall,1415621,1,5,2/14/23 14:30,2/14/23 16:30
230,ICPA - Broomall,1207085,0,5,8/30/22 13:30,8/30/22 15:30
1006,ID Consultants - Beachwood,1233498,1,8,9/30/22 11:30,9/30/22 13:15
1006,ID Consultants - Beachwood,1152237,0,8,7/22/22 11:30,7/22/22 13:15
1006,ID Consultants - Beachwood,1192194,0,8,8/19/22 11:30,8/19/22 13:15
1006,ID Consultants - Beachwood,1357681,0,8,2/9/23 13:00,2/9/23 14:45
1006,ID Consultants - Beachwood,1357679,0,8,12/23/22 12:30,12/23/22 14:15
1006,ID Consultants - Beachwood,1421716,0,8,3/17/23 11:30,3/17/23 13:15
1006,ID Consultants - Beachwood,1265018,1,8,9/30/22 11:30,9/30/22 13:15
1006,ID Consultants - Beachwood,1293878,0,8,11/11/22 12:30,11/11/22 14:15
86,CIVIC - WILTON,1080288,0,8,7/27/22 19:00,7/27/22 20:00
658,CIVIC - GREENWICH,1165058,1,2,7/28/22 13:15,7/28/22 14:15
148,ICPA - Jenkintown,1117273,1,6,7/5/22 12:30,7/5/22 18:00
148,ICPA - Jenkintown,1161447,0,6,7/15/22 12:30,7/15/22 17:30
148,ICPA - Jenkintown,1117272,1,6,6/30/22 12:30,6/30/22 18:00
148,ICPA - Jenkintown,1144284,0,6,7/14/22 12:30,7/14/22 17:30
148,ICPA - Jenkintown,1407153,0,6,1/17/23 13:00,1/17/23 18:00
937,CIVIC - NORTH HAVEN,1426080,3,10,1/21/23 14:30,1/21/23 15:30
937,CIVIC - NORTH HAVEN,1439053,1,10,2/18/23 13:30,2/18/23 14:30
937,CIVIC - NORTH HAVEN,1426076,5,10,1/7/23 17:30,1/7/23 18:30
230,ICPA - Broomall,1424973,2,5,1/13/23 18:00,1/13/23 18:45
86,CIVIC - WILTON,1416368,2,8,12/21/22 20:00,12/21/22 21:00
147,ICPA - Royersford,1347927,1,6,11/8/22 17:00,11/8/22 19:30
147,ICPA - Royersford,1298264,1,6,10/25/22 15:00,10/25/22 17:30
147,ICPA - Royersford,1351786,1,6,11/8/22 18:30,11/8/22 21:00
147,ICPA - Royersford,1370810,1,6,11/29/22 14:30,11/29/22 17:00
147,ICPA - Royersford,1263782,0,6,9/13/22 13:30,9/13/22 16:00
147,ICPA - Royersford,1156497,0,6,7/19/22 13:30,7/19/22 16:00
147,ICPA - Royersford,1317604,1,6,10/25/22 15:00,10/25/22 17:30
147,ICPA - Royersford,1186604,2,6,8/16/22 13:30,8/16/22 16:00
147,ICPA - Royersford,1352543,1,6,11/29/22 14:30,11/29/22 17:00
147,ICPA - Royersford,1267358,1,6,10/4/22 14:00,10/4/22 16:30
86,CIVIC - WILTON,1184390,1,8,8/5/22 12:00,8/5/22 17:00
86,CIVIC - WILTON,1184388,2,8,7/22/22 12:30,7/22/22 17:30
230,ICPA - Broomall,1460310,1,5,2/17/23 15:00,2/17/23 15:30
230,ICPA - Broomall,1294705,0,5,10/28/22 15:00,10/28/22 15:30
230,ICPA - Broomall,1377732,0,5,12/23/22 16:00,12/23/22 16:30
322,ICPA - Center City,1142844,3,4,9/21/22 14:00,9/21/22 15:00
230,ICPA - Broomall,1121295,0,5,6/30/22 19:15,6/30/22 19:45
230,ICPA - Broomall,1336432,0,5,11/25/22 16:00,11/25/22 16:30
230,ICPA - Broomall,1248205,3,5,9/30/22 16:30,9/30/22 17:00
230,ICPA - Broomall,1162093,0,5,8/2/22 13:00,8/2/22 13:30
230,ICPA - Broomall,1206517,1,5,8/30/22 14:00,8/30/22 14:30
230,ICPA - Broomall,1421946,0,5,1/20/23 16:30,1/20/23 17:00
322,ICPA - Center City,1279731,0,4,3/22/23 14:00,3/22/23 15:00
148,ICPA - Jenkintown,1177570,2,6,8/11/22 15:30,8/11/22 17:30
148,ICPA - Jenkintown,1222167,0,6,9/8/22 15:30,9/8/22 17:30
148,ICPA - Jenkintown,1386502,0,6,12/29/22 17:00,12/29/22 19:00
148,ICPA - Jenkintown,1302972,0,6,11/3/22 16:30,11/3/22 18:30
148,ICPA - Jenkintown,1141358,0,6,7/14/22 15:30,7/14/22 17:30
148,ICPA - Jenkintown,1446562,2,6,1/27/23 17:00,1/27/23 20:00
148,ICPA - Jenkintown,1345435,3,6,12/1/22 17:00,12/1/22 19:00
148,ICPA - Jenkintown,1261792,0,6,10/6/22 16:30,10/6/22 18:30
1036,ID Consultants - Painesville,1136940,1,4,12/20/22 14:00,12/20/22 20:00
1036,ID Consultants - Painesville,1136937,0,4,12/6/22 14:00,12/6/22 20:00
148,ICPA - Jenkintown,1421986,0,6,1/10/23 17:00,1/10/23 21:00
148,ICPA - Jenkintown,1421995,1,6,1/13/23 17:00,1/13/23 21:00
148,ICPA - Jenkintown,1421983,0,6,1/9/23 17:00,1/9/23 21:00
148,ICPA - Jenkintown,1421990,3,6,1/12/23 17:00,1/12/23 21:00
